question_id,question_type,fact_number,gold_fact,generated_answer,covered,review_notes
I01,Inferred,2,Failure to meet rental minimum standards is considered an urgent repair.,"A non-working fixed heater is considered a non-urgent repair. If the rental provider does not respond, you can organise and pay for the repair yourself, as long as the repair does not cost more than $2500. You can use the 'Notice to rental provider of rented premises' form to request reimbursement for the repair.",0,
I01,Inferred,3,The rental provider must arrange an urgent repair immediately.,"A non-working fixed heater is considered a non-urgent repair. If the rental provider does not respond, you can organise and pay for the repair yourself, as long as the repair does not cost more than $2500. You can use the 'Notice to rental provider of rented premises' form to request reimbursement for the repair.",0,
I01,Inferred,4,"If the provider does not respond, the renter can arrange the urgent repair if it costs no more than $2500.","A non-working fixed heater is considered a non-urgent repair. If the rental provider does not respond, you can organise and pay for the repair yourself, as long as the repair does not cost more than $2500. You can use the 'Notice to rental provider of rented premises' form to request reimbursement for the repair.",1,
I01,Inferred,5,The rental provider must reimburse the renter within 7 days.,"A non-working fixed heater is considered a non-urgent repair. If the rental provider does not respond, you can organise and pay for the repair yourself, as long as the repair does not cost more than $2500. You can use the 'Notice to rental provider of rented premises' form to request reimbursement for the repair.",0,
I01,Inferred,6,"If reimbursement is not provided, the renter can apply to RDRV.","A non-working fixed heater is considered a non-urgent repair. If the rental provider does not respond, you can organise and pay for the repair yourself, as long as the repair does not cost more than $2500. You can use the 'Notice to rental provider of rented premises' form to request reimbursement for the repair.",0,
I02,Inferred,1,The renter must receive at least 90 days notice of a rent increase.,"You should receive a Notice of rent increase at least 90 days before the rent increase takes effect. If you think the new amount is too high, you can ask Consumer Affairs Victoria to investigate using the Request for rental assessment form, which can be done within 30 days of receiving the rent increase notice.",1,
I02,Inferred,2,The renter can request a free rent assessment from Consumer Affairs Victoria.,"You should receive a Notice of rent increase at least 90 days before the rent increase takes effect. If you think the new amount is too high, you can ask Consumer Affairs Victoria to investigate using the Request for rental assessment form, which can be done within 30 days of receiving the rent increase notice.",1,
I02,Inferred,3,The assessment must be requested within 30 days of receiving the rent increase notice.,"You should receive a Notice of rent increase at least 90 days before the rent increase takes effect. If you think the new amount is too high, you can ask Consumer Affairs Victoria to investigate using the Request for rental assessment form, which can be done within 30 days of receiving the rent increase notice.",1,
I02,Inferred,4,"If the dispute remains unresolved, the renter can apply to RDRV or VCAT.","You should receive a Notice of rent increase at least 90 days before the rent increase takes effect. If you think the new amount is too high, you can ask Consumer Affairs Victoria to investigate using the Request for rental assessment form, which can be done within 30 days of receiving the rent increase notice.",0,
I03,Inferred,1,The original condition report can show that the damage existed when the renter moved in.,"You can dispute the claim by providing evidence of the damage being pre-existing, such as photos or notes from the condition report you completed when you moved in (RG_P17).",1,
I03,Inferred,2,Photos can provide evidence of pre-existing damage.,"You can dispute the claim by providing evidence of the damage being pre-existing, such as photos or notes from the condition report you completed when you moved in (RG_P17).",1,
I03,Inferred,3,The exit condition report can be compared with the original condition report.,"You can dispute the claim by providing evidence of the damage being pre-existing, such as photos or notes from the condition report you completed when you moved in (RG_P17).",0,
I03,Inferred,4,The rental provider cannot claim the bond for fair wear and tear.,"You can dispute the claim by providing evidence of the damage being pre-existing, such as photos or notes from the condition report you completed when you moved in (RG_P17).",0,
I03,Inferred,5,A disputed bond claim can be taken through RDRV.,"You can dispute the claim by providing evidence of the damage being pre-existing, such as photos or notes from the condition report you completed when you moved in (RG_P17).",0,
I04,Inferred,1,A rental provider cannot evict a renter because they exercised or intended to exercise their rental rights.,"Your rental provider cannot evict you because you have tried to exercise your rental rights. They can only end the rental agreement for specific reasons, and must give you the required amount of notice (usually 90 days) in the correct written form, including the reason for ending the agreement.

[RG_P32] Renters Guide - Page 32",1,
I04,Inferred,2,The rental provider needs a valid reason to end the agreement.,"Your rental provider cannot evict you because you have tried to exercise your rental rights. They can only end the rental agreement for specific reasons, and must give you the required amount of notice (usually 90 days) in the correct written form, including the reason for ending the agreement.

[RG_P32] Renters Guide - Page 32",1,
I04,Inferred,3,The rental provider must provide the correct written Notice to vacate.,"Your rental provider cannot evict you because you have tried to exercise your rental rights. They can only end the rental agreement for specific reasons, and must give you the required amount of notice (usually 90 days) in the correct written form, including the reason for ending the agreement.

[RG_P32] Renters Guide - Page 32",1,
I04,Inferred,4,The required notice period depends on the reason.,"Your rental provider cannot evict you because you have tried to exercise your rental rights. They can only end the rental agreement for specific reasons, and must give you the required amount of notice (usually 90 days) in the correct written form, including the reason for ending the agreement.

[RG_P32] Renters Guide - Page 32",0,
I04,Inferred,5,In most instances the notice period is 90 days.,"Your rental provider cannot evict you because you have tried to exercise your rental rights. They can only end the rental agreement for specific reasons, and must give you the required amount of notice (usually 90 days) in the correct written form, including the reason for ending the agreement.

[RG_P32] Renters Guide - Page 32",1,
